name,kind
absorption,Marker
ahu,Marker
ahuRef,Ref
air,Marker
airCooled,Marker
area,Number
blowdown,Marker
boiler,Marker
boilerPlant,Marker
boilerPlantRef,Ref
bypass,Marker
centrifugal,Marker
chilled,Marker
chilledBeamZone,Marker
chiller,Marker
chillerPlant,Marker
chillerPlantRef,Ref
circuit,Marker
closedLoop,Marker
cmd,Marker
co2,Marker
coldDeck,Marker
condensate,Marker
condenser,Marker
connection,Marker
constantVolume,Marker
cool,Marker
cooling,Marker
coolingCapacity,Number
coolingTower,Marker
cur,Marker
curDis,Str
curErr,Str
curStatus,Str
curVal,Obj
current,Marker
damper,Marker
delta,Marker
device,Marker
device1Ref,Ref
device2Ref,Ref
directZone,Marker
dis,Str
discharge,Marker
domestic,Marker
dualDuct,Marker
effective,Marker
efficiency,Marker
elec,Marker
elecMeterLoad,Ref
elecMeterRef,Ref
elecPanel,Marker
elecPanelOf,Ref
enable,Marker
energy,Marker
entering,Marker
enum,Str
equip,Marker
equipRef,Ref
evaporator,Marker
exhaust,Marker
faceBypass,Marker
fan,Marker
filter,Marker
flow,Marker
freezeStat,Marker
freq,Marker
gas,Marker
gasMeterLoad,Ref
geoAddr,Str
geoCity,Str
geoCoord,Coord
geoCountry,Str
geoCounty,Str
geoPostalCode,Str
geoState,Str
geoStreet,Str
heat,Marker
heatExchanger,Marker
heatWheel,Marker
heating,Marker
his,Marker
hisErr,Str
hisInterpolate,Str
hisStatus,Str
hisTotalized,Marker
hot,Marker
hotDeck,Marker
humidifier,Marker
humidity,Marker
hvac,Marker
id,Ref
isolation,Marker
kind,Str
leaving,Marker
lightLevel,Marker
lighting,Marker
lights,Marker
lightsGroup,Marker
load,Marker
makeup,Marker
maxVal,Number
meter,Marker
minVal,Number
mixed,Marker
multiZone,Marker
network,Marker
networkRef,Ref
neutralDeck,Marker
occupancyIndicator,Marker
occupied,Marker
openLoop,Marker
outside,Marker
perimeterHeat,Marker
pf,Marker
phase,Str
point,Marker
power,Marker
pressure,Marker
primaryFunction,Str
primaryLoop,Marker
protocol,Str
pump,Marker
reciprocal,Marker
refrig,Marker
return,Marker
rooftop,Marker
run,Marker
screw,Marker
secondaryLoop,Marker
sensor,Marker
site,Marker
siteMeter,Marker
sitePanel,Marker
siteRef,Ref
sp,Marker
speed,Marker
stage,Number
steam,Marker
steamMeterLoad,Ref
subPanelOf,Ref
submeterOf,Ref
sunrise,Marker
temp,Marker
tripleDuct,Marker
tz,Str
unit,Str
valve,Marker
variableVolume,Marker
vav,Marker
vavZone,Marker
vfd,Marker
volt,Marker
volume,Marker
water,Marker
waterCooled,Marker
waterMeterLoad,Ref
weather,Marker
weatherCond,Number
weatherPoint,Marker
weatherRef,Ref
wetBulb,Marker
writable,Marker
writeErr,Str
writeLevel,Number
writeStatus,Str
writeVal,Obj
yearBuilt,Number
zone,Marker
